,Skills
113,"[' Window 07-10,', ' Ubuntu ', ' HTML,', ' CSS,', ' JS,', ' Jquery ', ',Angularjs ', ' PHP. ', ' MYSQL,', ',MongoDB,', ',IndexedDB ', ' Websql. ', ' Codeigniter,', ',Laravel. ', ' Wordpress,', ',Opencart. ', ' Web development ', ' Application development. ']"
114,"['uto Cad, R']"
115,[' MS Office ']
116,"[' Dac Easy ', ' MS office. ', ' Finance (SAP Based) ', ' Visual Enterprise (ERP Based) ', ' Peachtree ', ' Tally ERP-09 ']"
117,"['MS office A', 'Autocad 2']"
118,"['Auto CAD (', 'Microsoft Office Word, ', 'Microsoft Office Excel, ', 'Microsoft Office Power Point  ']"
119,"['Windows XP, ', 'Windows 7, ', 'Windows 8 a', 'MS office E']"
120,[]
121,"['ally – ', 'icrosoft Office – ', 'S Excel, M', 'S Word & ', 'S  Power Point   ']"
122,"['ndows XP / W', 'N 7,8    ', '-Office (Ex', 'cel, Mi', 'cro soft Power Point)   ']"
123,[]
124,"[' Troubleshooting Windows ', ' Directory\\Linux Server problems. ', ' Installation and Operating windows,macintosh and linux ', 'mail support t', 'Server security monitoring a', 'Network share creation, ', 'Corrdinating with vendor f', 'Support for First Level of Messaging a', 'Managing User profiles, ']"
125,"['DOCUMENTATION,R', 'ETAP(LOAD FLOW &SHORT CIRCUIT ANALYSIS)  ', 'MS OFFICE  ']"
126,[' Microsoft Office ']
127,"[' Communication skills ', ' Customer service ', ' Business development ']"
128,"[' Digital marketing ', ' Google Analytics ', ' Google AdWords ', ' Marketing ', ' SEO ', ' Wordpress ', ' Content Writing ', ' Business Development ', ' Entrpreneurship ', ' Business Management ']"
129,"[' Digital marketing ', ' Google Analytics ', ' Google AdWords ', ' Marketing ', ' SEO ', ' Wordpress ', ' Content Writing ', ' Business Development ', ' Entrpreneurship ', ' Business Management ']"
130,"[' Sales ', ' Marketing ', ' Communication skills ', ' Computer skills ', ' Customer service ']"
131,"[' Good Communication\xa0', ' Positive attitude ', ' Sales ', ' Marketing ', ' Communication skills ', ' Business development    Languages  ']"
132,"[' SEO ', ' SEM ', ' Digital marketing ', ' Google Analytics    Languages ', ' Keyword Research,', ' Google AdWords,', ' Seo Tools ', ' Search Engine Marketing ', ' Social Media  Marketing ']"
133,"[' Angular 8/9,', ' HTML5,', ' Javascript,', ' CSS3,', ' Node,', ' Node JS ', ' HTML/ HTML5,', ' CSS3 ', ' JavaScript ', ' Node JS. ', 'Node JS f', 'modeling, ', 'architecture design, ', 'HTML/ HTML5, ', 'CSS3 a', 'JavaScript c', 'Node JS R', 'ReactJS  ', 'XML  ', 'HTML5  ', 'JavaScript  ']"
134,"[' Sales and marketing ', ' Sales ', ' Marketing ', ' Communication skills ', ' Customer service ', ' Business development ']"
135,[' MS OFFICE ']
136,[]
137,"['Microsoft office xp, ', 'Microsoft office 2000, ', 'Microsoft office xp, ', 'Microsoft office 2000, ', 'MS Word, ', 'S Word, ', 'MS S AcceAccess,s', 'MMS Excel, ', 'Internet Explorer, ', 'Outlook, ', 'Excel, ', 'Internet Explorer, ', 'Outlook, ', 'Oracle Software-E  ', 'Oracle Software-ERRPP&&']"
138,"[' Electronic Data ', ' installations ', ' Microsoft Office Program:', ' using and installing software on ', ' troubleshooting ', ' MS Word:', 'PowerPoint presentations: ', 'Excel Spreadsheets: ', 'Outlook: ', 'Computer Applications  ', 'Computer Application &', 'AUTOCAD &', '3D MAX  ', 'AutoCAD &', '3d Max  ']"
139,"['hardware, ', 'operating systems, ', 'application programming.  ', 'Windows XP, ', '2000.Window-7, ', 'Microsoft word a', 'Microsoft office Excel.  ']"
140,[]
141,"['AC/ DC machines and transformers, ', 'Switch gear and     protection system, ', 'Panel designing, ', 'Electrical Equipment C', 'Transformer testing &', 'Panel Designing.  ', 'AutoCAD Designing  ', 'MS Office  ']"
142,"[' Business development ', ' Communication skills ', ' Computer skills ', ' Customer service ', ' Marketing ', ' Microsoft Excel ', ' Negotiation ', ' Sales ']"
143,"[' SQL ', ' DAX,', ' MS Office ']"
144,"[' Marketing ', ' Communication skills ', ' Computer skills ', ' Microsoft Excel ', ' Sales ', ' Business development ', ' Customer service ', ' Microsoft office ', ' MS-word,', ',Ms-Excel ', ' Ms-Presentation,', ',Mass mailing,']"
145,"[' Sales ', ' Marketing Management,', ' Brand Management,', ' Advertising\xa0 Management,', ' product Launches ', ' Promotions,', ' Visual Merchandising ', ' Marketing Communications.\xa0', ' Product Development ', ' Promotional Activities,', ' Brand\xa0 Development,', ' Corporate Communications,', ' Operations,', ' Market Research ', ' Customer Engagement,', 'RKETING (7 ', 'RKET RESEARCH (6 ', 'LES (2 ', 'AND MANAGEMENT (Le', 'DGET (6 ', 'line sales (8 ', 'and Management Mar', 'rketing Plans\xa0 St', 'rategic Management Str', 'rong Execution\xa0 Ve', 'ndor Management Sal', 'les & B', 'siness Development\xa0 Op', 'erations Management Str', 'dget Management Mar', 'rket Research  ']"
146,"[' Market analysis ', 'Marketing, ', 'Branding &', 'Marketing S', 'Sales Generation P', 'Pre-Sales Activities B', 'Business Development I', 'Industrial & Automation Products P', 'Project Engineering P', 'Project Sales S', 'Strategic Planning R', 'Revenue Growth E', 'Marketing a', 'Sales executive d', 'support f', 'business operations w', 'icrosoft Office (W', 'ord, E', 'xcel, P', 'owerPoint)  ', 'usiness development  •', 'ommunication skills  •', 'arketing  •', 'icrosoft Excel  •', 'egotiation  •', 'ales  O']"
147,"[' Software Development ', ' Interface Designing ', ' Responsive Web Design ', ' Unit Testing ', ' Rational & Critical Thinking ', ' Java,', ' JavaScript ', ' HTML,', ' CSS,', ' SASS,', ' ReactJS,', ' ReduxJS,', ' NextJS,', ' GIT ']"
148,"[' USART,', ' SPI,', ' I2C ', ' ESP8266 ', ' Arduino ', ' IoT architecture ', ' internet protocols ', ' Embedded-C language ', 'Atmel Studio-7  ', 'AVR Loader v1.0  ', 'Arduino-IDE  ', 'Proteus-8  ', 'Blynk-app  ', 'Arduino RC  ', 'Embedded C  ']"
149,"['Flutter, ', ', Dart, ', 'Android SDK, ', 'Web Service, ', 'Json, ', 'Gson, ', 'Kotlin. D', 'Sketch, ', 'Zeplin, ', 'Adobe Photoshop D', 'SQLite. A', 'Google Analytics, ', 'Sentry. T', 'Google Map and Direction APIs, ', 'Youtube APIs, ', 'GSON, ', 'Volley, ', 'PICASSO, ', 'FireBase, ', 'Parse push Notification. F', 'Widgets, ', 'Material Design, ', 'Navigation, ', 'StateManagement, ', 'Extensions, ', 'Plugins. D', 'Android Studio, ', 'VS Code, ', 'XCode. O', 'Git, ', 'Github, ', 'Bitbucket. ']"
150,"['PC Campaign Management (3', 'igital Marketing (1', 'earch Engine Optimization (S', 'EO) (', 'EM (3', 'oogle Analytics (8', 'nalytics (6', '2B Sales (4', 'erformance Marketing (8', '-Commerce (2', 'logging (1', 'oogle AdWords (2']"
151,"['Python, ', 'C, ', 'C++, ', 'Php, ', 'Java\xa0 ', 'Windows10, ', 'Linux\xa0 ', 'MS Office, ', 'Power Point\xa0 ', 'Html, ', 'CSS, ', 'Xml\xa0 ', 'PHP  ', 'JavaScript  ', 'HTML5  ', 'MySQL  ']"
152,"[' Windows,', ' LINUX\xa0', 'HTML a', 'Java Script,\xa0', 'Microsoft Visual Studio 2010, ', 'Pycharm,\xa0', 'Mysql, ', 'sqlyog,\xa0', 'C, ', 'C++, ', 'C#, ', 'Python, ', '.Net, ', 'Java  ', 'MEAN STACK IN PYTHON  ']"
153,[]
154,"[' Frontend/Backend ', ' Javascript ', ' Html ', ' Css ', ' TypeScript ', ' SCSS ', ' NodeJs ', ' React ', ' Angular ', ' VueJS ', ' Svelte ', ' Redux ', ' ExpressJS ', ' Bootstrap ', 'Tailwind  ', 'Storybook  ', 'Git  ', 'Elasticsearch  ', 'Mongodb  ', 'MySQL  ', 'HTML5  ', 'Python  ', 'SQL  ', 'Amazon Web Services  ']"
155,"[' Windows,', ' Ubuntu,', ' Fedora ', ' Python,', ' HTML ', ' C ', '.NET  ', 'Python  ']"
156,"[' Python,', ' javascript,', ' Mongodb,', ' React,', ' Django,', ' nodejs ', ' CSS ', ' Git ', ' JSON ', ' JavaScript ', ' MySQL ', ' React ', ' MongoDB ', ' Node.js ', ' Python ', ' Machine learning ', ' User Interface ', '(UI)', ' php ', ' APIs ', ' GitHub ', ' REST ']"
157,"[' Solidity ', ' Blockchain ', ' Web3.js- ', ' Node.js ', ' React.js ', ' Blockchain ', ' NFT Marketplace development. ', ' Ethereum,', ' Binance Smart Chain. ', ' ERC20,', ' BEP20,', ' TRC20,', ' ERC721,', ' ERC1155. ', ' Uniswap & Pancakeswap router integration ', ' MySQl ', 'AJAX  ', 'HTML5  ', 'JavaScript  ', 'MySQL  ', 'PHP  ', 'React.js  ', 'Node.js  ', 'Solidity  ', 'Web3.js  ', 'Ethereum  ', 'Smart contract  ']"
158,"[' Microsoft office,', ' tally basics,', ' PGDCA ', ' Microsoft Office,', ' tally,', ' PGDCA ', ' Marketing ', ' Communication skills ', ' Microsoft Excel ', ' Computer skills ', 'Business development  ', 'Customer service  ', 'Sales  ', 'Negotiation  ']"
159,"[' Tableau.\xa0', ' Excel ', ' SQL Server.\xa0', ' Tableau Desktop,', ' Tableau Server,', ' Tableau Online ', ' SQL server ', ' Win7,', ' win10 ']"
160,"[' Databases ', ' Html ', ' Java ', ' JSP ', ' MS Office ', ' android ', ' xp,', ' Windows (7, 8, 10)\xa0', ' MySQL Server,', ' Oracle\xa0', ' MS Office\xa0', ' Core Java\xa0', ' HTML,', ' JSP,', ' SERVLET ']"
161,"['.NET  ', 'C  ', 'HTML5  ', 'Java  ', 'JavaScript  ', 'PHP  ', 'SQL  ', 'Css  ', 'Agile  ', 'Typescript  ']"
162,"[' designing ', ' development tools ', ' Java,', ' Python,', ' J2EE ', ' Spring Boot,', ' Django ', ' Java, ', ' Python,', ' Hibernate,', ' MySQL,', ' Junit,', ' SonarQube,', ' Postman,', ' SVN,', ' Spring  Boot,', ' Mockito,', ' Jenkins,', ' Spring scheduler ', 'Java, ', 'Python, ', 'Django, ', 'SQL, ', 'MongoDB, ', 'Angular6, ', 'Swagger, ', 'SVN, ', 'Spring, ', 'Radis Cache. P', 'Java  ', 'HTML5  ', 'Python  ', 'SQL  ', 'JavaScript  ', 'Django  ', 'Spring Boot  ', 'ROS  ', 'Mongodb  ', 'Mysql  ', 'Java, ', 'Python, ', 'C, ', 'C++.\xa0 ', 'Spring Framework, ', 'Microservices, ', 'Spring MVC, ', 'Spring AOP, ', 'Django, ', 'HTML, ', 'CSS, ', 'JSP, ', 'Angular.\xa0 ', 'XSLT, ', 'XML, ', 'Data Structure, ', 'MongoDB, ', 'MySQL, ', 'Oracle, ', 'Redis, ', 'MS Access\xa0 ', 'Spring Boot, ', 'Eclipse, ', 'Visual Studio, ', 'Tensor Flow, ', 'Intellij, ', 'Jupiter Notebook M', 'Matlab.\xa0 ', 'SVN, ', 'GIT, ', 'Crucible.  ', 'ngular  •', 'ss  •', 'gile  •', '  O']"
163,"[' HTML,', ' CSS,', ' JavaScript.\xa0', ' Python\xa0', ' JavaScript\xa0', ' HTML\xa0', ' CSS\xa0', ' Django\xa0', ' Pandas\xa0', ' MYSQL ', ' Django ', ' Django ']"
164,"['ensory Evaluation Fo', 'ormulation de', 'evelopment La', 'aboratory Trials Fo', 'ood Safety  •', 'nalytical & numerical sk', 'ime management  S', 'roduct Development  •', 'roduct Demos  •', 'usiness Development  •', '-Commerce  •', 'trategic Planning  O']"
165,"[' HTML|CSS|software ', ' HTML,', ' CSS,', ' JS,', ' SQL ', ' Bootstrap. ', ' JavaScript based frameworks ', ' HTML,', ' CSS ', ' angular ', ' HTML5,', ' CSS3,', ' JS. ', 'CSS, ', 'HTML, ', 'JS, ', 'SQL, ', 'SQL DBA, ', 'Sublime, ', 'SQL Management Studio, ', 'Angular  ', 'Python, ', 'Java, ', 'Jupyter  ', 'WORKED  ', 'FAMILAR  ', 'C  ', 'HTML5  ', 'JavaScript  ', 'SQL  ', 'Angularjs  ', 'Angular  ', 'Agile  ', 'Java  ']"
166,"[' PHP ', ' JAVA ', ' AJAX\xa0', ' joomla ', ' cms ', ' wordpress.\xa0', ' software development ', 'PHP, ', 'JavaScript, ', 'html.  ', 'joomla components, ', 'wordpress blogs.  ', 'functional and Unit Testing.  ', 'Windows  ', 'MYSQL.  ', 'Administration  ', 'Quality control, ', 'learming codeigniter  ', 'JavaScript  ', 'PHP  ', 'MySQL  ', 'Wordpress  ', 'HTML5  ', 'AJAX  ']"
167,"[' Customer relationship ', ' Sales and marketing ', ' Sales ', ' Marketing ', ' Communication skills ', ' Customer service ', ' Business development ']"
168,"[' SEO ', ' SEM ', ' Digital marketing ', ' Google Analytics ', ' Management skills,', ' Keyword Research,', ' Google web master Tool,', ' Google AdWords,', '(Ahrefs ', ',Semrush,', ' Keyword Planner,', ' Moz)', ' Search Engine Marketing ', '(SEM)', ' Social Media Marketing ', '(SMM)']"
169,"[' Angular 8/9,', ' HTML5,', ' Javascript,', ' CSS3,', ' Node,', ' Es6 ', ' Typescript ', "" REST API'"", ' ES6 ', ' RXJS ', ' Node JS ', ' REST ', ' HTML/ HTML5,', ' CSS3 ', ' JavaScript ', ' Angular ', ' Node JS. ', 'Git f', 'Node JS f', 'REST s', 'HTML/ H', 'HTML5, ', 'CSS3 a', 'JavaScript c', 'Node JS R', 'ReactJS  ', 'XML  ', 'HTML5  ', 'JavaScript  ']"
170,"[' web,', ' SEO/SEM,', ' advertising ', ' brand awareness ', ' analytics,', ' metrics,', 'Search Engine Optimization  ', 'Search Engine Marketing  ', 'Social Media Marketing  ', 'Campaign Management  ', 'Email Marketing  ', 'Content Writing  ', 'Digital marketing  ', 'Google AdWords  ', 'Google Analytics  ', 'Demand Generation/Lead Generation  ', 'HTML5  ', 'SEO  ', 'Marketing  ', 'SEM  ', 'JavaScript  ', 'EO, G', 'oogle Ads, S', 'ocial Media Marketing, E', 'mail Marketing, f', 'TML an', 'SS, w', 'ebsite management, c', 'ampaign management an', 'igital marketing ca', 'EO, S', 'EM, e', 'mail marketing, a', 'onversion rate optimization an']"
171,"[' Ms word,', ' ms window ']"
172,"[' web development ', ' REST API ', ' Node.Js. ', ' Angular 6+ ', ' ReactJs\xa0', ' SQL(', '(MySQL ', ' MSSQL)', ' NoSQL(', '(MongoDB ', ' CassandraDB)', ' MuleSoft. ', 'AWS, ', 'AZURE, ', 'GCP e', 'RESTful APIs f', 'backend APIs. •', 'Node.Js f', 'Angular 6 a', 'NodeJs A', 'MOCHA a', 'CHAI f', 'MySQL. •', 'MOCHA a', 'CHAI. •', 'JavaScript  ', 'NodeJs, ', 'Express, ', 'Javascript, ', 'ES6\xa0 ', 'Angular 6+, ', 'ReactJs, ', 'Core Java, ', 'MySQL, ', 'NoSQL, ', 'MongoDB, ', 'Mulesoft, ', 'Agile, ', 'SAFe, ', 'Git\xa0 ', 'JIRA, ', 'Git, ', 'VS Code, ', 'Eclipse, ', 'Postman, ', 'Workbench  ']"
173,"[' customer relationships. ', ' communication skills. ', ' Office Work ', ' Sales ', ' Marketing ', ' Communication skills ', ' Business development ', ' Negotiation ', ' Digital Marketing ']"
174,"[' Business development ', ' Microsoft Excel ', ' Marketing ', ' Microsoft office ']"
175,"['Marketing  ', 'Business development  ', 'Communication skills  ', 'Computer skills  ', 'Customer service  ', 'egotiation  •', 'igital Marketing  •', 'ales  •', 'icrosoft Excel  •']"
176,"[' Talend Integration Suite ', ' Talend Admin Console ', '(TAC)', ' Datastage.\xa0', 'alend Open studio V(6.', 'nterprise Platform fo', 'NIX, H', 'adoop, O', 'racle, M', 'QL Se', 'lend  6.', 'IX,  S', 'ell  script,  S', 'L  Server,  O', 'acle,  B', 'siness  Objects,  E', 'win,  S', 'N, Re', 'dgate, Ca', 'pterra.  Da', 'Talend  Tale', ', C#, ', 'HTML', ', XML,', ' PL/S', 'QL  • Da', ' warehouse  • Da', 'stage, Info', 'rmatica, SSIS', ', SSRS', '  • Da', 'bases  • Bu', 'd Tool  • An', ' Mave', 'n  • Pr', 'esses  • Ag', 'e-Scrum, Wate', 'rfall  • Op', 'ows, Linu', 'x, Mac ', ' • Or', 'le, SQL ', 'Serve', 'data, Hado', 'op, HDFS', ', Mong', 'oDB  • We', 'h, Fire', 'path, Fire', 'bug  • Bu', ', Qual', 'ity Centre (QC) ', 'and ', 'illa  ']"
177,"['ack End,  ', 'S Windows XP', 'P, M', 'indows Vista  •', 'S Office (w', 'ord, p', 'ower-point, e', 'xcel La', 'icrosoft, E', 'xcel, W', 'ord, P', 'ower Point (8', 'irst Aider Tr', 'SE Training.  L']"
178,"[' Content Development ', ' Brand Development ', ' Market Research ', ' Adaptability ', ' Creativity ', ' Marketing    • ']"
179,"[' Marketing,', ' communications,', ' brand management ', ' marketing programs,', ' product launches,', ' campaigns,', 'Corporate Communications  ', 'Marketing Strategy  ', 'Digital Communications  ', 'Omnichannel Marketing  ', 'Client Relations  ', 'Leadership  ', 'Public Speaking  ', 'Strong Written &', 'Oral Communication Skills  ', 'roblem Solving  •', 'dobe Creative Cloud  •', 'ublic Relations  •', 'anva  •', 'ocial Media Management  •', 'artech  •', 'ontent Creation  •', 'arketing Automation  •', 'mail Marketing  •', 'quarespace  •', 'ailChimp  •', 'oogle Analytics  •', 'raphic design  •', 'ocial media marketing  •', '-commerce  •', 'roject management  •', 'acebook Advertising  •', 'ubSpot  •', 'igital ads  •', 'sana  •', 'vent production and management  A']"
180,"[' Web Development.\xa0', ' Software Development.\xa0', ' OOPS,', ' JAVASCRIPT,', ' J-QUERY,', ' CORE PHP,', ' LARAVEL,', ' CakePHP,', ' HTML,', ' CSS,', ' MYSQL,', ' MONGODB,', ' DEVELOPMENT,', ' WEBSERVICES,', ' REST API,', ' WORDPRESS.\xa0', 'OOPS, ', 'JAVASCRIPT, ', 'J-QUERY, ', 'CORE PHP, ', 'LARAVEL, ', 'CakePHP, ', 'HTML, ', 'CSS, ', 'MYSQL, ', 'MONGODB, ', 'AGILE DEVELOPMENT, ', 'WEBSERVICES, ', 'REST API, ', 'WORDPRESS. A', 'JAVASCRIPT, ', 'J-QUERY, ', 'PHP, ', 'LARAVEL, ', 'CakePHP, ', 'CODEIGNITER, ', 'HTML, ', 'CSS, ', 'OOPS, ', 'WEBSERVICES, ', 'REST API, ', 'WORDPRESS. D', 'Mysql, ', 'MongoDb. S', 'Linux, ', 'Windows. T', 'Visual Studio Code, ', 'Netbeans, ', 'GIT, ', 'SNV. P', 'JIRA. P', 'Store Management  ', 'Supplier Management  ', 'Product Management  ', 'Commission management  ', 'Order Management  ', 'Sales Order Management  ', 'urchase Order Management  •', 'nvoice Management  •', 'elivery management  •', 'urchase analysis reports. Te', 'oding, D', 'atabase architecture & ', 'esting Technologies: P', 'HP(La', 'aravel Framework), ', 'ySQL, H', 'TML, C', 'SS, A', 'jax, J', 'avaScript, j', 'Query Pr', 'ront  •', 'atabase Te', 'HP(Ca', 'akePhp), ', 'ySQL, H', 'TML, C', 'SS, A', 'jax, J', 'avaScript, j', 'Query Pr', 'ORE PHP, M', 'ySQL, H', 'TML, C', 'SS, A', 'jax, J', 'avaScript, j', 'Query Pr', 'st API Tec', 'RE PHP, My', 'SQL, HT', 'ML, CS', 'S, Aj', 'ax, Ja', 'vaScript, jQ', 'uery  • ', 'ont  • ', 'tabase  • ', 'ML5  • ', 'P  • ', 'vaScript  • ', 'L  • ', 'ile  ']"
181,"[' OPERATING SYSTEM:', ' Windows-XP, ', ' Vista ', ' Windows-7 ', ' MS-Office ', ' internet ', '""Computer Assembling,', ' Basic computer knowledge ', ' Marketing ', 'Sales  ', 'Management  ', 'Business development  ']"
182,"[' Windows Operating System,', ' MS word ', ' MS office.\xa0']"
183,"[' Electrician   expert ', ' people   management ', ' Electrical Technical Support ', ' Customer Service ']"
184,[]
185,"['ccounts Practice in software, M', ' S Excel.  •', 'aintain Accounts receivable an', 'hecking balance sheet an', 'aintaining of Files su', 'hecking and verifying appropriate Tax of', 'aintaining basic accounts, b', 'ccounts Practice in Tally ERP 9 software, M', ' S Excel.  •', 'erating Systems    ', 'ndows XP, Wi', 'ndows 7, Wi', 'ndows 8.    ', 'crosoft Office, M ', 'Excel. Tal', 'lly ERP 9.    ']"
186,"[' Internet ', ' Basic Fundamentals of Computer. ']"
187,"[' MS Word,', ' MS Excel,', ' PowerPoint ', 'perating System   ', 's Windows 98/XP/Vista/7   ', 's Office (W', 'ord, P', 'ower Point & ', 'xcel)  ']"
188,"[' Civil AutoCAD ', 'Ms Office W', 'Word/Excel  ', 'Net surfing a', 'AutoCAD :', 'Architectural designing, ', 'Engineering     Drawings, ', 'Highway Drawings, ', 'Draughtsman Work  Printing a', 'Soft copies  ', 'Email, ', 'Scanning, ', 'Printing, ', 'Fax  ', 'Xp operating, ', 'Windows/Vista/2007  ']"
189,"['MS Office,(', '(XL)  ', '.TallyErp9.  ', 'Operating Systems: ', 'Windows  2003/2008 S', 'Server ,', 'Windows7, ', 'Windows XP, ', 'windows8.  ', 'operating                                              Systems a', 'installation of applications.  ']"
190,"[' Windows:', ' Windows ', ' Ms-Word,', ' Ms-Excel ', ' Internet    Explores,', ' Windows:', ' Tally ERP9 ']"
191,"[' secretarial works. ', ' Prepare a Fit-outs Bills. ', ' Maintaining Running Bills Records. ', ' Document Control ', ' Microsoft tools ']"
192,"[' HT  & LT distribution ', ' switchgears. ', ' LT&HT Motors ', ' AC&DC Drives ', ' MCC Cabling and wiring,', ' Motor Re-Winding ']"
193,"['Windows XP, ', 'MS Office.  ', 'SAP (System Applications Products, ', 'ERP(ENTERPRISE    RESOURCE PLANNING) P', 'PMS SYSTEM, ', 'TALLY9, ']"
194,[]
195,[' Computer skills    • Marketing    • Sales    • Communication skills    • Adobe Photoshop    • Salesforce    • Business Development    • Digital Marketing  ']
196,"[' Microsoft SQL Server,', ' SSIS ', ' Microsoft Power BI. ', ' Transact-SQL ', '(DDL,', ' DML,', ' DCL,', ' DQL)', ' Data  Task,', ' Execute  SQL  Task,', ' Script  Task ', ' Power BI Databases:', ' SQL Server,', ' Excel ETL Tool:', ' SSIS Reporting Tools:', ' MS. Power ', '(Excel,', ' CSV,', ' Flat  file)', 'MySQL t', 'Power BI reports- M', 'SQL  ', 'Ssis  ', 'power bi  ']"
197,"[' Managing all HR activities ', ' Attendance  Training ', ' Development  Performance Appraisal ']"
198,"['ing speed 55 WPM.     ', 'wledge of Ms-Office & Internet.     ']"
199,"[' good communication ', ' cash management ', ' accounting,']"
200,[]
201,[]
202,"[' Wbut    Skills ', ' IT Skills ', ' Marketing ', ' Communication skills ']"
203,[]
204,[' IT Skills ']
205,"['Windows2000,W', 'Windows XP    Graphic Software  ', 'Photoshop C', 'CS3, ', 'Illutrator CS3  ', 'Vfx S', 'After Effect CS3,C', 'CS5, ']"
206,"[' chemical production,', ' IT Skills ', ' Chemical logistics safety. ', ' Sales-Marketing speciality chemicals ', ' Industry safety. ']"
207,"[' IT ', ' Marketing ', ' Communication ']"
208,[]
209,"[' Computer Programming ', ' C#', 'Git (', 'JAVASCRIPT (', 'MAC (', 'MAC O', 'MODEL-VIEW-CONTROLLER (', 'MODEL-VIEW-VIEWMODEL (', 'MVC (', 'MVVM (', 'OBJECTIVE C', 'MVVM a', 'MVC.\xa0 ', 'Xcode, ', 'Git, ', 'Bitbucket\xa0 ', 'Objective C', 'C, ', 'Swift, ', '#, ', 'JavaScript\xa0 ', 'MVC, ', 'MVVM,\xa0', 'SQLite, ', 'Firestore\xa0 ']"
210,"[' IT Skills ', ' BUYING/PROCUREMENT ', ' MARKETING ', ' MS OFFICE ']"
211,"[' B2B marketing search,', ' Marketing ', 'Computer skills  ', 'Marketing  ', 'Microsoft Excel  ']"
212,[' IT Skills ']
213,"[' tool  configuration,', ' creation of scripts,', ' running scripts,', ' tool testing,', ' Web Testing ', ' Project management ', ' Requirement analysis,', ' Database management,', ' project management,', ' project planning,', ' executing,', ' Monitoring ', ' SDLC ', ' STLC,', ' Agile ', ' JIRA,', ' SQL,', ' Eclipse Tool,', ' Black Box Testing.\xa0', 'SQL-Advance Q', 'HTML a', 'XML s', 'Ecllipse a', 'Jira  ', 'MS-Project P', 'MS-Word, ', 'MS-Excel, ', 'MS-Power Point).', 'QL   ']"
214,"[' IT Skills ', ' QlikView,', ' Qlik ', ' Oracle 11g,', ' Sql Server ', ' C,', 'C, C++,', ' Core Java ']"
215,[' Marketing ']
216,"[' IT Skills ', ' Digital Marketing ', ' Marketing Management ', ' Social Media Marketing ', ' Business Development ', ' Business Management ', ' Marketing ', 'Google Analytics  ']"
217,"[' java Script and PHP ', ' Web Designing: HTML, CSS, WORDPRESS, JAVA SCRIPT    • Basic knowledge of JQUERY, PHP    • Computer skills in, such as Microsoft word, Microsoft Power Point ']"
218,"[' NODEJS ', ' MONGODB. ', ' HTML5,', ' CSS3,', ' JAVASCRIPT,', ' JQUERY,', ' BOOTSTRAP,', ' AJAX,', ' NODEJS,', ' MONGODB ', ' PHP ', '&MYSQL ', ' MS OFFICE ']"
219,"[' C,', ' C++,', ' Java,', ' SAP ABAP ', ' HTML,', ' MySql ', ' MS-Office:', ' Microsoft Office Word,', ' Microsoft Office Excel,', ' Microsoft Office Power ']"
220,"[' Mobile application ', ' Web UI development.\xa0', ' front-end technologies,', ' Git.\xa0', ' Analyzing Process Flows,', ' Gathering Requirements,', ' Preparing System\xa0  Design specification,', ' Development and Implementation.\xa0', ' handling international clients.\xa0', 'React Native, ', 'jQuery, ', 'HTML5, ', 'IT Skills  ', 'Web Technology  ', 'Visual Studio Code, ', 'Swift, ']"
221,"[' asp.net,', ' sql server 2012,', ' Javascript,', ' Jquery. ', ' mvc,', ' angular 4,', ' asp.net 4.5 ', ' .NET ', ' SQL ', 'Javascript (']"
222,"['IT Skills  ', 'Microsoft Word and Excel  ']"
223,"[' building REST APIs,', ' API design ', ' development using Django\xa0  framework.\xa0', ' Front end ', ' HTML ', ' CSS.\xa0', ' PostgreSQL,', ' MYSQL\xa0', ' python modules ', '(Numpy,', ' Scipy,', ' Pandas ', ' Matplotlib)', ' Python,', ' Django,', ' Django-Rest,', ' PostgreSQL,', ' HTML,', ' CSS,', ' GIT,', ' GITHUB. ']"
224,"[' PHP ', ' ERP software development ', ' IT Skills ', ' HTML,', ' CSS,', ' java script ']"
225,"[' ASP.Net,', ' MVC,', ' Angular 8/11,', ' Angular Js,', ' C#.', '#.Net ', ' VB.Net,', ' Entity Framework,', ' LINQ,', ' SQL Server ', ' C#.', ' Angular 8,', ' Metronic Theme,', ' ASP.NET WebAPI,', ' SQL Server ', ' Entity Framework ', ' LINQ. ', ' C#.', ' LINQ ', ' Angular 11,', ' Metronic Theme,', ' ASP.NET Core 2 WebAPI,', ' SQL Server ', ' Entity Framework ', ' LINQ. ', 'ASP.Net, ', 'C#, ', 'MVC p', 'AJAX a', 'J-Query f', 'SQL SERVER 2', 'ASP.Net 4.5, ', 'C# (', 'MVC).']"
226,"[' IT Skills ', ' Social Media Marketing ', ' Digital Marketing ', ' Lead Generation ', ' Google Analytics ', ' Google Ads ', 'Digital Marketing Strategy  ', 'Customer Service  ', 'Business Development  ', 'Marketing Management  ', 'Search Engine Optimization (SEO) ', 'Google AdWords  ', 'SEO  ', 'Facebook Advertising  ', 'WordPress  ', 'PPC Campaign Management  ']"
227,"[' Marketing ', ' Research ', 'Finance, ', 'Marketing Management, ', 'Research Management, ', 'Sales Management  ', 'Business development  ']"
