,Skills
228,"[' analysis,', ' design,', ' development,', ' implementation,', ' deployment,', ' maintenance of multiple applications in Mainframe domain.\xa0', ' Agile Methodologies.\xa0', ' RDz,', ' RTC ', ' Waterfall ', ' Agile\xa0  Methodologies ', 'IBM Personal Communications (', 'IBM Rational Developer f', 'IBM    Rational Team Concert(R', 'Eclipse.  ', 'IBM SQL Developer  ', 'Code collaborator (', 'Star Team, ', 'Client Visit Tracker, ', 'Automatic Test Data Generator, ', 'Components Health C']"
229,"[' Laminas framework ', ' php ', ' JavaScript ', ' HTML5 ', ' MySQL ', ' AJAX ', ' Html\xa0', ' Css\xa0', ' Bootstrap\xa0', ' Mysql\xa0', ' Php\xa0', ' Operating System ']"
230,"[' PHP,', ' CSS,', ' HTML,', ' JavaScript,', 't, jQuery,', ' Bootstrap,', ' MYSQL,', ' CodeIgniter.\xa0', ' Atom,', ' MySQL\xa0']"
231,"['Marketing.  ', 'Digital marketing.  ', 'Digital marketing  ', 'Marketing  ']"
232,"[' Asp.Net ', ' MVC ', ' Oracle SQL Developer ', ' Html,', ' CSS,', ' Asp.Net ', ' MVC ', ' Html,', ' CSS,', ' Bootstrap,', ' JQuery,', ' Javascript ', 'Web API  ']"
233,"['Computer skills  ', 'Marketing  ', 'Communication skills  ']"
234,"[' HTML5,', ' DHTML,', ' CSS3,', ' JavaScript,', ' XML,', ' DHTML,', ' XHTML,', ' jQuery,', ' AJAX,', ' JSON,', ' Angular Material Design.\xa0', ' MVC JavaScript frameworks ', ' AngularJS,', ' Angular 5 ', ' Dojo Toolkit.\xa0', ' AngularJS,', ' Angular 5. ', ' HTML 5,', ' CSS3,', ' Photoshop ', ' HTML5 & ', ' javascript & jquery ', ' Bootstrap & Ajax ', ' AngularJS ']"
235,[]
236,"['Load, unload and stack goods t', 'Identify and record any damaged, ', 'Prepare stock transfer requests o', 'Support Storekeeper in receiving/dispatching consignments a', 'Assist in updating stock records in ERP system.  ', 'Interact politely with customers/suppliers.  ', 'Assist in other duties as and when required by the Storekeeper/Warehouse In charge          Company  ', 'assist with  end year closings activities  ']"
237,[' JavaScript (Less than 1 year)    • HTML5 (Less than 1 year)    • React js (Less than 1 year)    • Bootstrap 4 (Less than 1 year)    • Material Ui (Less than 1 year)    • Java ']
238,[' typing ']
239,[]
240,"[' Java ', ' MySQL ', ' HTML,', ' CSS ', ' JavaScript ', 'C  ', 'Java  ', 'SQL  ', 'JavaScript  ', 'Java  ']"
241,"[' Oracle SQL ', ' PL/SQL\xa0', ' Java ', ' Spring Boot ', ' Agile ', 'Oracle SQL ,', 'Java Spring Boot ,', 'Windows, ', 'Unix, ', 'LinuxMessaging S', 'IBM M', 'SQL  ', 'Maven, ', 'Jenkins, ']"
242,"[' Marketing ', ' Sales ', ' Business Development ', ' Communication skills ', ' Customer service ', ' Negotiation ', ' Computer ', ' Microsoft Excel ', ' Microsoft office ', 'MSOffice\xa0  \xa0  SKILLS\xa0 ']"
243,[' • JavaScript (Less than 1 year)    • HTML5 (Less than 1 year)    • React js (Less than 1 year)    • Bootstrap 4 (Less than 1 year)    • Material Ui (Less than 1 year)    • Java ']
244,"["" Web API's "", ' Angular ', ' Razor Payment ', ' Entity Framework.\xa0', ' .NET Technologies ', ' Web Service,', ' Interface ', ' UI.\xa0', ' .Net Framework.\xa0', ' web applications.\xa0', ' ASP.NET ', ' SQL Server ', ' WAMP Server.\xa0', ' J2EE,', ' JDBC ', ' Swing ', ' My SQL ', ' My SQL ', ' JDBC ', "" Web API's "", ' Angular ', ' Razor Payment ', ' Entity Framework. ', ' Web Service,', ' Interface ', ' UI. ', 'Airline web services s', 'Sabre a', 'Amadeus.  ', '.Net Framework.  ', 'Automation Testing b', 'Cypress.  ', 'J2EE, ', 'JDBC and S', 'Swing w', 'My SQL a', 'C#, ', 'HTML.  ', 'Database: ', 'SQL Server.  ', 'C#, ', 'HTML, ', 'ASP.NET.  ', 'Database: ', 'SQL Server M', 'Management Studio 2', '#, H', 'TML an', 'ava-script.  D', 'QL Server.  R', '#, H', 'TML, M', 'VC, L', 'INQ, A', 'DO.NET, W', 'eb Services.  D', 'atabase: S', 'QL Server.  R', '#, H', 'TML, L', 'INQ, W', 'eb API.  D', 'atabase: S', 'QL Server.  R', ' C+', '+, JA', 'VA.    ', 'ET    ', 'ML5    ', 'L    ', 'vaScript    ', 'va    ', 'crosoft SQL Server    ', 'b-based Technologies: PH', 'P, HT', 'ML5, JA', 'VASCRIPT, VB', ', C#', '.   ', 'sual Studio 2012.    ', 'L Server, My', ' SQL 5.7', 'ndows and', 'cOS.   ']"
245,[]
246,[]
247,[' Marketing    • Business development ']
248,"[' Email Marketing,', ' Web Analytics,', ' SMS Marketing ', ' Web designing domains. ', ' Microsoft Office,', ' MS Excel,', ' InDesign ', ' Photoshop.\xa0', ' Software Testing,', ' SQL,', ' Linux,', ' Java,', ' C,', ' CSS ', ' HTML. ', ' Digital & Email Marketing ', ' Operating Systems ', ' Windows 7, ', ' Windows XP ', ' Digital,', ' Email ', ' SMS  Marketing,', ' SEO,', ' Web  Analytics,', ' Software  Testing ', ' Web  Designing ', ' Database Connectivity ', ' MySQL ', ' Coding ', 'Java,H', 'HTML,C', 'CSS,I', 'INDESIGN,P', 'Photoshop (', 'MySQL  ', 'Marketing  ']"
249,[]
250,"[' Windows 2000/XP/Vista/Seven ', 'Coordinates with Helpdesk for timely resolution of requests / complaints.  ', 'Co-ordinates with Annual Maintenance Contract (AMC) s', 'Updates PPM schedules and maintain PPM records in designated files.  ', 'Ensures all the AMC equipment’s mentioned in report. A']"
251,"["" Marketing & Sales    • User Friendly with operating system's: Windows XP and Window 7.    • Basic knowledge of MS Word, MS Excel.  "", 'Business development  ']"
252,"[' PHP Core,', ' PHP MVC,', ' PHP CMS ', ' WordPress,', ' Magento,', ' Duda,', ' Drupal ', ' Php Frameworks ', ' Laravel,', ' CI,', ' CakePHP ', ' PHP / WORDPRESS ', ' HTML5 ', ' CSS3 ', ' Bootstrap 4/5 ', ' PHP Core ', ' Advance PHP ', ' WordPress ', ' Shopify ', ' Duda ', ' Drupal ', 'Magneto #', 'Laravel  ', 'CakePHP  ', 'Code Igniter  ', 'AngularJS  ', 'Apache /', 'Nginx /', 'Centos /', 'Microsoft Server /', 'FreeBSD /', 'Unix (', 'Audio & Video Server Development (', 'Graphic Designing  ', 'Graphic Designing (', 'Photoshop /', 'Adobe XD /', 'Figma /', 'Adobe InDesign) ', 'Website Assets  ', 'Social Media Graphic Content  ', 'Digital Adverts  ', 'Product Packaging  ', 'Leaflets  ', 'Thank-you Cards  ', 'Promo Cards  ', 'Social Media Marketing  ', 'Digital Marketing  ', 'Google AdWords  ', 'Social Media Optimization  ', 'Logo /', 'Promo Video Designing (', 'Marketing  ', 'Search Engine Optimization B', 'Business Development  ', 'Project Analysis &', 'Management  ', 'MySQL  ', 'Linux  ', 'Git  ', 'Java  ', 'AWS  ', 'REST  ', 'User Interface (', 'UI) ', 'Microsoft SQL Server  ', 'JavaScript  ', 'Node.js  ']"
253,"['AUTO MOBILE”.   ', 'C’& D', 'SA.   ']"
254,"['Windows 9X, ', 'XP/7 & Android.  ', 'MS   Word, ', 'MS   Office, ', 'MS   Excel, ', 'MS   Suite, ', 'Power  ', 'Adobe Reader and Adobe Photoshop.  ']"
255,"[',MARKETING,SALES & PRODUCTION. ']"
256,"[' Node.js,', ',Express.js.I ', ' Mongodb,', ',Redis,', ',Mysql ', ' Elastic Search.I ', ' docker,', ',jenkins ', ' kubernetes. ', ' RESTful API ', ' design ', ' development ', ' npm module ', ' agile methodologies ', ' Git, ', ' Jenkins ', ',Docker ', ' Kubernetes ', 'Javascript  ', 'Java  ', 'C  ', 'Html5  ', 'Css  ', 'Python  ', 'Node.js (', 'Express Js (', 'Mongodb (', 'Mysql (', 'Redis (', 'Elastic Search (', 'RabbitMQ (', 'Software Development (', 'Gitlab (']"
257,"[' Hardware ', ' Software & networking ']"
258,"[' Microsoft Office,', ' Word,', ' Excel & Power point. ', ' Tally 7.2, Tally ', ' Internal mail system. ']"
259,"[' Marketing    • Sales    • Business Development ', ' Computer skills    • Microsoft Excel    • Microsoft office ', 'COMPUTER KNOWLEDGE\xa0  MSOffice\xa0  \xa0  SKILLS\xa0 ']"
260,"[' digital marketing ', ' SEO/SEM,', ' Marketing\xa0  \xa0  Database,', ' E-mail Marketing,', ' Social Media Marketing,', ' Reviewing,', ' Designing ', ' building Social Media presence.\xa0', ' SEO/SEM. ', ' Online marketing ', ' Company Growth Analysis. ', ' Digital campaigns ', ' Digital marketing ', ' Social media marketing ', ' SEO ', ' Content Marketing ', ' Social Media Management ', ' Advertising ', ' Content creation ', ' Blogging ', ' Customer service ', 'Typing  ', 'Windows  ', 'Customer service  ', 'Customer service  ', 'Marketing  ', 'Google AdWords  ', 'SEM  ', 'Google Analytics    Languages  ']"
261,[]
262,[]
263,"[' DB2,', ',Python,', ' R    Languages ', ' Apache Open Office,', ' MS Excel,', ' MS Powerpoint,', ' MS Word,', ' MySQL Workbench,', ' MySQL 5.0,', ' IBM    NGO, ']"
264,"[' electrical design ', ' R&D ', ' embedded testing. ']"
265,"[' Transmission   and Distribution substation,', ' Substation construction ', 'Basic Elementary/ M', 'MS word/Excel &', 'Auto Cad.  ']"
266,[]
267,[' Technical and   Organizational Skills. ']
268,"[' supervision of all maintenance work and completes all paper  work ', ' Overhauling of L&T, Schneider ', ' Operation & Maintenance of HT and LT Panel ', ' Operation & Maintenance of ACB,', ' Maintenance of Lighting System ', ' Preventive and Breakdown Maintenance of DOL,', ' Operation of Split Ac, Packages Ac, Ductable Ac, Tower Ac, cassette ac &  PAC. ', ' Operation and Maintenance of Fire Fighting System. ', ' Operation and Maintenance of Transformer and DG. ', ' Operation and Maintenance of UPS System. ', ' Operation and Maintenance of RO Plant. ', ' Operation and Maintenance of STP. ', ' Operation and Maintenance of HVAC ']"
269,"['CCELEROMETERS, M', 'ICROPHONE, S', 'PEED SENSORS, P', 'RESSURE     TRANSDUCERS, T', 'HERMOCOUPLES & ']"
270,"[' Collect, count, disburse money,', ' Communicate   with   customers,   employees,', ' Answer telephone, direct calls and take messages. ', ' Compile, copy, sort, and file records of office activities ', ' Complete and mail bills, contract policies,', ' Operate office machines,', ' Compute, record, and proofread data and other information,', 'Open, sort and route incoming mail, answer correspondence, ', 'Review files, records, and other documents t', 'Inventory and order materials, supplies, and services.  ', 'Complete work schedules, manage calendars and arrange appointments.  ', 'Process   and   prepare   documents,   such   as   business   or   government   forms   and   expense    report.  ', 'Monitor and direct the work of lower-level c', 'Type, format, proofread and edit correspondence and other documents, from notes or    dictating machines, using computer and typewriters.  ', 'Count, weigh, measure, and/or organize materials.  \uf0d8 Train other staff member to perform work activities, such as using computer applications.  ', 'Prepare meeting agendas, attend meeting, and record and transcribe minutes.  ', 'Troubleshoot   problems   involving   office   equipment,   such  ']"
271,"[' MS office-Excel,', ' word,', ' internet,', ' Auto-Cad. ', ' construction drawing. ']"
272,"[' Materials Management ', ' Inventory Management ', ' Defining BOM ', 'Purchases, ', 'Production, ', 'Marketing &', 'Finance.  ']"
273,[' Basic Knowledge of Computer. ']
274,[]
275,[]
276,[]
277,[]
278,[]
279,[]
280,[]
281,[]
282,"['Public speaking.  ', 'MS Word, ', 'Excel, ', 'PowerPoint, ', 'Access, ']"
283,[]
284,"['Creative and logical  ', 'Ability to think out of the box, ']"
285,[]
286,"['Design, ', 'production, ', 'research &', 'development.  ']"
287,"[' supervise and execute Fabrication,', ' Construction work at oil and gas ', ' working in multicultural environments ', ' Innovative and develop new concepts ', ' Working withM/S. Integrated Specialized General Contracting ']"
288,"[' Data Entry ', ' Excellent Typing ', ' English- 45Wpm ', ' Hindi- 30 Wpm ', ' Inventory Management ', ' Handling Billing & Collections,', ' MS-Excel ']"
289,[]
290,"[' Understand and Study the complete component drawings. ', ' Developing 3D Modelling and 2D drawings (with GD&T) of component and pattern. ', ' Finite Element Analysis for stress, strain and deformation analysis with the help of ANSYS software. ', ' Casting Simulation to solve methoding and find out defects like shrinkage through ProCAST software before     production. ', ' Reverse Engineering Process. ', ' Machining inspection. ', ' Inspection of the products. ', ' Defect analysis and then implement the ways to minimize present defect within short time. ', ' Process planning & execution. ', ' To lead the shop floor as per requirement. ', ' Maintain all the records as per international standards. ', ' To develop different types of components. ', 'Special Purpose Machine to remove burs from sharp corner edges after machining.  ', 'Having Strong command on below given software for computer aided designing.    \uf076 CATIA* for 3D Modeling (Part/Assembly) and Drafting both.  \uf076 ProCAST* for Casting Simulation to detect shrinkage, air entrapment & molten metal flow.  \uf076 UG-NX* for 3D Modeling (Part/Assembly), Drafting & further analysis.  \uf076 Solid-Works* for 3D Modeling (Part/Assembly/Drafting).  \uf076 ANSYS* knowledge for Finite Element Analysis (Structural Analysis).  \uf076 SolidCAM* basic knowledge for machining.  \uf076 AutoCAD*, AviCAD* for Drafting.  \uf076 Reverse Engineering.  \uf076 Diploma in computer application.                                                                           Technical Skill:    \uf076 Excellent Skills in Designing (2D Drawings & 3D models). ', 'Excellent Skills in Casting Manufacturing Process.  \uf076 Pipe Designing  \uf076 Reverse Engineering  \uf076 Computer Aided Designing  \uf076 Good presenter.  \uf076 Plant layout design & development  \uf076 Process Planning, Facility planning & documentations  \uf076 Project management, risk management, lesson learning and implementation  ']"
291,"['asic of AutoCAD, ,', 'rimavera,MS', 'S Excel.   ', ' language.   ', 'INDOWS 2000/ XP/NT/ 95/ 98.   ']"
292,"[' Tally. ', ' Microsoft Office: Excel,', ' Windows,', ' Power Point,', ' Access ', ' Oracle. ']"
293,"['ATLAB, P', 'VSYST   ', 'S- Office   ']"
294,[' HSE Professional ']
295,[]
296,"['ectrical Circuits  \uf0a7 ', 'rcuit Breakers  \uf0a7 ', 'duction Motors  \uf0a7 ', 'tor Starters  Technical Proficiency    ', 'ADD – AutoCAD  \uf0a7 ', 'art sheet application, Bo', 'x application   \uf0a7', 'crosoft office 2003, 2007 & 2010 ope', 'wer point   &', 'oto Shop    ']"
297,[]
298,"['ord, E', 'xcel & ', 'ower Point, P', 'ageMaker, C', 'orelDraw,  ', 'hotoshop   ', 'irst Aid/CPR Certification   ']"
299,[]
300,"['NC Programming,  ', 'uto Cad,  ', 'roE 2000i,  ', 'ffice.   ']"
301,"[' Typing Speed 40 WPM ', 'Creative thinking, ', 'self motivated ability to work independently towards a team goal, ', 'ability to work   positively and produce the required result with in schedule.  ', 'English (Professional), ', 'Hindi (Professional), Tamil(Exp)  ']"
302,"['AUTO-CAD, ', 'M.S OFFICE, ', 'TALLY, ', 'PHOTOSHOP  ']"
303,[]
304,[]
305,"[' internal auditor for ISO 9001:2008 and OHSAS 14001 ', ' Site   Project   and   Procurement   Engineering,', ' Layout  &  design,', ' Surveys  &  Estimation,', ' Budget  &   Forecasting,', ' Tender   Management,', 'PRIMAVERA     SAP (PRODUCTION)  ', 'MS PROJECT  ', 'MS OFFICE     PROFESSOINAL M']"
306,"['MS-Office     Operating Systems  ', 'Windows XP  ']"
307,[]
308,"['(CNC OPERATOR)', ' G and M code. ', ' Pro E,', ' AutoCAD. ', ' MS Windows 98/XP/Vista/Seven/Eight. ']"
309,"[' PLC programming ', ' Schematic and SLD using AutoCAD. ']"
310,"[' MS-Dos,', ' MS-Word,', ' MS-Excel,', ',MS-Access,', ' Internet Concepts,', ' Programming with     FoxPro 2.6/visual FoxPro     Skills & Abilities ']"
311,"['ectrical Circuits  \uf0a7 ', 'rcuit Breakers  \uf0a7 ', 'duction Motors  \uf0a7 ', 'tor Starters  Te', 'ADD – AutoCAD  \uf0a7 ', 'art sheet application, Bo', 'crosoft office 2003, 2007 & 2010 open office   \uf0a7', 'wer point   & Photo Shop    ']"
312,"[' Adoptable to new conditions. ', ' Responsible Towards assigned job. ', ' Quick learning ability ', 'AUTO CAD  ', 'MS OFFICE  ', 'C LANGUAGE  ', 'MS EXCEL  ']"
313,"[' -Knowledge of Operating system Win-XP, Win-7, Win-8, Win-10,', ' MS-Office,', ' MS-World,', ' MS-      Excel. ', ' CRM,', ',ICT SME  SAP ']"
314,"[' MS Office (Word, Excel &   PowerPoint),', ',MS Windows   (98,XP,7,8,10,vista),', ' Mac ', ' Internet Applications ']"
315,"['Microsoft Office package, ', 'DTP e', 'OPERATING SYSTEM                                                                           WINDOW     XP, 7  ']"
316,"[' Ansys,', ' Trnsys,', ' MS Windows ,XP,', ' Word,', ' Excel ', ' Solid Edge,', ' Femap,', ' Autocad,', ' PowerPoint.. ']"
317,['SAP software i']
318,"[' A I D C ( Automated Identification    and Data Capturing ) ', 'Languages C  ', 'Development in NIELIT  ', 'MSP430F5529 Microcontroller  Launchpad  ', 'PLC programming &', 'SCADA &', 'Electrical CAD &', 'MS Office  ']"
319,"[' Window XP ', ' Ms-Office ']"
320,"[' MS-Office,', ',MS-Excel ', ' Windows XP/2007/200 ']"
321,[' MS-Excel/MS Word. ']
322,[]
323,[]
324,[]
325,[]
326,"[' Ms-Cit ', ' Microsoft Word ']"
327,"[' AJAX ', ' HTML5 ', ' MySQL ', ' PHP ', ' Wordpress ']"
328,"['eports Generating  •', 'echnical Proficiency  •', 'eport Preparation  •', 'icrosoft, execl  •', 'IAISON (Less than 1 year), ', 'ETWORKING (Less than 1 year), T', 'ECHNICAL SUPPORT (Less than 1  ']"
329,"[' Software design,', ' development and\xa0 Application maintenance using Siebel CRM,', ' JavaScript and MySQL.\xa0', ' Salesforce Administrator(', ' Agile Methodology.\xa0', ' Open UI ', ' Oracle SQL DB\xa0', ' Windows, Linux\xa0', ' MS Word,', ' MS EXCEL,']"
330,"[' APIs ', ' Android ', ' JSON ', ' Java ', ' REST ', ' SQLite ']"
331,"[' My sql ', ' Java ', ' JavaScript ']"
332,"[' Marketing ', ' Sales ', ' Business development ']"
333,"[' Operating System:   Windows 98/XP/Vista/Windows7/Window8.1 ', ' Introductory knowledge of C. ', ' MS-OFFICE (Word, Power Point, Excel).', ' Technical:                AutoCAD 2012,', ' REVIT ARCHITECTURE 2012,', ' SOLID EDGE    INDUSTRIAL VISITS AND TRAINING:', 'Good in analysing things, ', 'good in decision making &', 'managing the things.  ', 'Ability to handle conflict situations.  ', 'Team management skill, ', 'Convincing skill, ', 'Analytical skill.  ']"
334,[]
335,[]
336,"[' Marketing ', ' Business development ', ' Computer skills ', 'Microsoft Excel  ', 'Digital Marketing  ', 'Google Ads  ', 'Google AdWords  ']"
337,"[' of AWS,', ' Windows & Linux Administrator ', ' VPC with public and private subnet.\xa0', ' Nat Instance,', ' Nat Gateway,', ' Peering & VPC endpoints.\xa0', ' MySQL Mater-Slave Replication.\xa0', ' Red Hat Linux,', 'Google Cloud, ', 'AppDynamics, ', 'Docker, ', 'DevOps  ']"
338,"['Java H', 'Html 5 C', 'CSS 3 J', 'Javascript J', 'JQuery B', 'Bootstrap S', 'Shopify Liquid W', 'Wordpress Tool /']"
339,"[' MARKETING ', ' ADVERTISING ', ' EVENT PLANNING ', ' Microsoft office ', ' Ms word ', ' Ms excel ', ' Customer Support ', ' Google Analytics ', 'Salesforce, ', 'Public Relations, ']"
340,"[' Management ', ' Marketing ', ' Microsoft Excel ', ' Sales ']"
341,[]
342,"[' web application development ', ' REST API development. ', 'avaScript, H', 'TML5, C', 'SS Li', 'ySQL, S', 'QL  •', 'hp  O', 'indows7, 8, 10, A', 'ndroid, I', 'OS.  •', 'I Designing, w']"
343,"[' microsoft office,', ' c++,', ',seo,s', ',social media marketing ', ' Search Engine Optimization (SEO) ', ' Digital Marketing ', ' Google AdWords ', ' JavaScript ']"
344,"[' *Hard working ', ' quick learner ', ' *Sincerity ', ' self confidence ', ' *Good team player ', ' *Leadership ', ' *Positive attitude ', ' *Good sense of Humour ', ' *Friendly ', ' engaging personality ', ' *Active listening ', ' *Microsoft office ', ' *C language ', ' Read     Write     Hindi    English   German ']"
345,"[' Flutter & Dart ', ' Android Development ', ' Python ', ' Git  Languages ']"
346,"[' Digital marketing ', ' Google AdWords ', ' Marketing ', ' Google Analytics ', ' SEO ', ' JavaScript ', ' Data Entry (3 years) ', ' HTML5 ', ' SEM ']"
347,"[' digital\xa0 marketing Executive ', ' cross-channel marketing,', ' digital communication,', ' social media\xa0 management. ', '2D, 3D Animation\xa0 ', 'Graphic designing\xa0 ', 'Web designing\xa0 ', 'HTML, CSS, ', 'JAVA script\xa0 ', 'S Word, M', 'S Excel, M', 'S\xa0 PowerPoint.\xa0 T', 'ally er']"
348,"[' Php,', ' Mysql,', ' Java,', ' Advanced Java ', ' Android Apps ', ' APIs ', 'JSON  ', 'REST  ', 'Jquery  ']"
349,"[' DATABASE MANAGEMENT SYSTEM (Less than 1 year) ', ' C++ (Less than 1 year) ', ' DBMS (Less than 1 year) ', ' MS OFFICE (Less than 1 year) ', ' Tally (Less than 1 year) ', ' MS Office\xa0', ' C,']"
350,"[' Sales ', ' Marketing ', ' Microsoft Excel ', ' Management ', ' Business development  Languages ']"
351,"[' MicroStrategy Developer (MSTR) ', ' Oracle SQL Developer V4.1 ', ' Unix Server (Tectia) ', 'ETL (Extraction, Transmission and Loading)  ', 'UNIX commands T', 'COGNOS  ', 'IBM Infosphere datastage  ']"
352,"[' Groovy,', ' Bash,', ' DAX Scripting. ', ' Power BI development. ', ' Ui-Path Automation,', 'Java B', 'SQL P', 'PostgreSQL M', 'MS PowerPoint M', 'MS Word M', 'MS Excel L']"
353,"[' HIVE ', ' andSpark. ', ' Hive ', ' Spark ', ' Python ', ' SQL ']"
354,"[' Sharepoint developer ', ' Project management ', ' Google map ', ' Sharepoint Designer ', ' Powerapps ', ' Java,', ' SharePoint Online ', ' Java Script,', ' HTML5 ', ' CSS ']"
355,[]
356,"[' Web Developer ', ' Content Creator ', ' IT Operations & Helpdesk,', ' Project Management,', ' Software Development ', ' Website Developer ', ' WordPress ', ' Backbone JS ', ' PHP ', ' PHP ', 'Bigcommerce  ', 'Drupal  ', 'Html5  ', 'Css  ', 'Jquery  ']"
357,"[' Python Developer ', ' Data Science ', ' Machine Learning ', '(Postgres,', ' MySql)', ' Google API(', '(Firebase,', ' OneSignal,', ' Push Messages,', ' Google Map etc ', '(Github,', ' Bitbucket.)', '(Python Libs,', ' SMS apis,', ' SMTP Server)', '(Django-Rest ', '(Windows/Linux/Aws)', ' Numpy,', ' Pandas,', ' Scipy,', ' Scikit-learn,', ' TensorFlow,', ' Keras,', ' NLTK,', ' Spacy,', ' Beautiful Soup,', ' MatPlotLib,', ' Jupyter Notebook\xa0', ' Android Experience ', ' Java/Kotlin.\xa0', ' Payment Gateway Integration.(', ' Google AdMob\xa0', '(Retrofit,', ' Volley)', 'Flutter, ', 'CSS  ', 'Mac OS, ', 'Linux  ', 'MSOffice, ', 'Adobe Photoshop e']"
358,"[' SEO,', ' SMO,', 'Windows, ', 'Office, ', 'MS Access, ', 'HTML, ', 'DTP, ', 'TALLY  ', 'Business development  ', 'Microsoft Excel  ', 'Sales  ']"
359,"[' Call Center,', ' Customer Service,', ' IT Operations ', ' Helpdesk,', ' Marketing ', ' Sales ', ' Marketing ', ' Communication skills ', ' Business development ', ' Computer skills ']"
360,"[' Promotional Activities\xa0', ' Forecast Sales Goals ', 'video marketing, ', 'Social media marketing, ', 'Brand Management ,', 'Google Video Campaign (3 years)  ', 'Business development  ', 'Marketing  ', 'Microsoft Excel  ', 'Sales  ', 'Computer skills  ']"
361,[' Microsoft office ']
362,[]
363,"[' Administration ', ' Programming ', ' Photography ', ' Telecommunication  Awards ']"
364,"[' ASP ', ' .net ', ' Boilerplate,', ',C#,', ',SQL Server 2017,', ' JQuery,', ' Prevounce.com ', ' JQuery,', ',Angular 2.x ', ' SQL Lite,', ' CSS,', ' HTML,', ' AJAX,', ' JavaScript,', ' JSON,', ' Angular 7 ', ' My SQL ', 'AWS, ', 'BitBucket, ', 'GitHub, ', 'TFS  ']"
365,"[' Full stack developer ', ' Php developer ', ' JavaScript Developer ', ' React.Js ', ' Typescript ', ' Gastby.js ', ' prismic.io ', ' WordPress ', ' Wocommerce ', ' Fabric.js ', ' PHP Web Developer\xa0', ' Nodejs,', ' Reactjs,', ' Typescript,', ' Redux,', ' Redux-Form,', ' Hapijs,', ' Swagger,', ' Sequelizejs,', ' semantic-ui,', ' Material-ui,', ' AngularJs,', ' Core/Advance PHP/Mysql/Postgresql/Mssql/ MongoDb,', ' HUGO ', ' HTML,', ' JavaScript,', ' Jquery,', ' CSS,', ' XML/JSON ', ' Ajax.\xa0', ' MVC,', ' ORM Frameworks,', "" API's,"", ' Bitbucket,', ' Github with Visual Studio Sublime,', ' Webstorm.\xa0', ' HTML,', 'C, ', 'C++ C', 'C#, ', 'php 5.0, ', 'JQuery (', 'Core php5.4, ', 'MY SQL(p', 'cms(w', 'Ecommerce cms(m', 'Forums(p', 'XAMPP SERVER, ', 'FILEZILLA, ', 'C-panel(G', 'Jr. Php Web Developer: ']"
366,"['R Planning - ', 'AP (R/3 Module)   Planning, S', 'cheduling & Managing Tool - ', 'S Projects   Designing Tool - ', 'utoCAD 2010   Package - ', 'S-OFFICE, E', 'mail Exchange   Operating System - ', 'INDOWS 98/2000/XP/2007/2008   Inspection (N', 'adiographic Testing.   ', 'ltrasonic Testing.   ', 'ye Penetrate Testing.   ', 'agnetic Particle Testing.   ', 'NC Machine Programming - ', ' & M Codes (Control – D-Electron)   ']"
367,"[' Shopify Developer-wordpress Developer ', ' AJAX API,', ' Admin REST API ', ' Worked with CLI,', ' Themekit,', ' GITHUB ', 'HTML, ', 'CSS, ', 'PHP, ', 'Shopify, ', 'Shopify 2.0, ', 'Ajax, ', 'Mysql, ']"
368,"[' Computer skills ', ' Customer service ', ' Marketing ', ' Communication skills ', ' Business development ', ' Microsoft Excel ']"
369,"['AUTOCAD, ', 'CREO, ', 'CATIA,A', 'ANSYS  ', 'MS-Office  ', 'CNC Machines  ', 'SAP – Inventory  ']"
